FPR,TPR,Threshold
0.13720813756588518,0.9539582500691733,0.8833
0.13720813756588518,0.9539705475451163,0.883
0.13723198740728373,0.9539766962830879,0.882
0.13723198740728373,0.9539828450210595,0.8813
0.13723198740728373,0.9539951424970025,0.8794
0.13727968709008084,0.954001291234974,0.879
0.1373035369314794,0.9540135887109171,0.8784
0.1373035369314794,0.9540320349248317,0.8774
0.1373035369314794,0.9540381836628032,0.877
0.1373512366142765,0.9540443324007747,0.8765
0.1373512366142765,0.9540504811387462,0.8755
0.13737508645567506,0.9540566298767178,0.875
0.13737508645567506,0.9540750760906324,0.8745
0.13739893629707361,0.9540812248286039,0.874
0.13744663597987072,0.9540996710425185,0.8735
0.13744663597987072,0.9541119685184616,0.8726
0.13749433566266783,0.9541181172564331,0.872
0.13749433566266783,0.9541242659944047,0.871
0.13749433566266783,0.9541427122083193,0.87
0.13749433566266783,0.9541550096842623,0.869
0.13758973502826205,0.9541550096842623,0.868
0.13758973502826205,0.9541611584222338,0.8677
0.1376135848696606,0.9541734558981769,0.867
0.1376135848696606,0.954198050850063,0.8657
0.1376135848696606,0.9542041995880346,0.865
0.13763743471105916,0.9542164970639776,0.8643
0.13763743471105916,0.9542287945399207,0.864
0.13763743471105916,0.9542410920158637,0.863
0.1376612845524577,0.9542472407538353,0.8623
0.13768513439385627,0.9542472407538353,0.861
0.13770898423525482,0.9542533894918068,0.8604
0.13770898423525482,0.9542595382297784,0.8594
0.13770898423525482,0.9542841331816645,0.859
0.13773283407665338,0.9542841331816645,0.8584
0.13773283407665338,0.9542902819196359,0.858
0.13775668391805196,0.9542964306576075,0.8574
0.13775668391805196,0.954302579395579,0.857
0.13775668391805196,0.9543210256094936,0.8564
0.13775668391805196,0.9543271743474652,0.856
0.13775668391805196,0.9543394718234083,0.855
0.13775668391805196,0.9543517692993513,0.853
0.13775668391805196,0.954370215513266,0.8525
0.13775668391805196,0.9543763642512374,0.8516
0.1377805337594505,0.9543763642512374,0.851
0.1377805337594505,0.9543948104651521,0.8506
0.1377805337594505,0.9544071079410951,0.8486
0.13780438360084907,0.9544194054170382,0.8477
0.13780438360084907,0.9544255541550097,0.847
0.13782823344224762,0.9544255541550097,0.8457
0.13785208328364618,0.9544317028929812,0.845
0.13792363280784184,0.9544440003689243,0.844
0.13792363280784184,0.9544501491068959,0.843
0.1379474826492404,0.9544562978448673,0.8423
0.13797133249063895,0.9544562978448673,0.8413
0.13797133249063895,0.9544624465828389,0.841
