FPR,TPR,Threshold
0.07951537122278136,0.9104128877547883,0.914
0.07958692074697703,0.910443631444646,0.9136
0.07961077058837558,0.9105420112521905,0.913
0.07963462042977414,0.9106465397977065,0.9126
0.07965847027117269,0.9107018784394503,0.912
0.07968232011257124,0.9107387708672795,0.9116
0.07975386963676692,0.9108432994127955,0.911
0.07975386963676692,0.9109232330064254,0.9106
0.07980156931956403,0.9111691825252867,0.9097
0.07980156931956403,0.9112245211670305,0.909
0.0798731188437597,0.911335198450518,0.9087
0.07989696868515825,0.9114520244719772,0.908
0.07994466836795536,0.9115381068035786,0.9077
0.07994466836795536,0.9116487840870662,0.907
0.07994466836795536,0.9116795277769237,0.9067
0.07996851820935391,0.9117471638946106,0.9062
0.08004006773354957,0.9118516924401266,0.906
0.08008776741634668,0.9119070310818704,0.9053
0.08011161725774524,0.9119623697236142,0.905
0.0801831667819409,0.9120484520552157,0.9043
0.08027856614753512,0.9121468318627601,0.904
0.08027856614753512,0.9121837242905894,0.9033
0.08032626583033223,0.9122206167184186,0.903
0.08037396551312934,0.9122513604082761,0.9023
0.08042166519592645,0.9123005503120485,0.902
0.08042166519592645,0.9123497402158207,0.9014
0.08051706456152066,0.9124296738094506,0.901
0.08051706456152066,0.9124788637132228,0.9004
0.08051706456152066,0.9125403510929382,0.9
0.08051706456152066,0.9126141359485965,0.8994
0.08066016360991199,0.9126694745903403,0.899
0.0807078632927091,0.9127678543978849,0.8984
0.0807555629755062,0.9127678543978849,0.898
0.08080326265830333,0.9128170443016571,0.8975
0.08082711249970188,0.9128723829434009,0.897
0.08085096234110044,0.9129461677990592,0.8965
0.08089866202389755,0.9130076551787746,0.896
0.0809225118652961,0.913106034986319,0.8955
0.08094636170669466,0.9131798198419774,0.895
0.08099406138949176,0.9132044147938636,0.8945
0.08101791123089032,0.9132659021735788,0.894
0.08101791123089032,0.9133396870292373,0.8936
0.08101791123089032,0.9134073231469241,0.893
0.08106561091368743,0.913487256740554,0.8926
0.08111331059648454,0.9135241491683832,0.892
0.08111331059648454,0.91359178528607,0.8916
0.08111331059648454,0.9136348264518708,0.891
0.08111331059648454,0.913684016355643,0.8906
0.08116101027928165,0.9137455037353583,0.89
0.08123255980347731,0.9137823961631875,0.8896
0.08125640964487586,0.9138377348049312,0.889
0.08132795916907153,0.9138746272327605,0.8887
0.08135180901047008,0.9139361146124758,0.888
0.08135180901047008,0.9139730070403049,0.8877
0.08135180901047008,0.9140652381098779,0.887
0.08139950869326719,0.9141205767516217,0.8867
0.0814472083760643,0.9142128078211947,0.886
0.08147105821746285,0.9142435515110524,0.8857
0.0814949080588614,0.9142988901527961,0.8853
0.08154260774165852,0.9143542287945399,0.885
0.08154260774165852,0.914471054815999,0.8843
0.08161415726585418,0.9145079472438282,0.884
0.08163800710725273,0.9145571371476005,0.8833
0.08178110615564406,0.9145878808374581,0.883
0.08187650552123828,0.9146555169551449,0.8823
0.08190035536263685,0.9146985581209457,0.882
0.0819242052040354,0.914772342976604,0.8813
0.08194805504543395,0.9148276816183478,0.881
0.08197190488683251,0.91487687152212,0.8804
0.08201960456962962,0.9149506563777785,0.88
0.08201960456962962,0.9149814000676361,0.8794
0.08206730425242673,0.915049036185323,0.879
0.08206730425242673,0.9151105235650383,0.8784
0.08213885377662239,0.915141267254896,0.878
0.08216270361802094,0.9151966058966398,0.8774
0.08221040330081805,0.915245795800412,0.877
0.08221040330081805,0.9152703907522981,0.8765
0.0822342531422166,0.9153195806560703,0.876
0.0822342531422166,0.9153810680357857,0.8755
0.0822342531422166,0.9154179604636148,0.875
0.08232965250781082,0.915454852891444,0.8745
0.08235350234920938,0.9154855965813017,0.874
0.08242505187340504,0.915547083961017,0.8735
0.0824966013976007,0.9155778276508747,0.873
0.08252045123899926,0.9156024226027608,0.8726
0.08256815092179637,0.9156208688166754,0.872
0.08261585060459348,0.915663909982476,0.8716
